Class,Pos,"Name (last, first)",Year,Gms,Solo,Asst,Total,TFL,Yds,Sacks,Yds,Int,Yds,ITD,PBU,QBH,FR,Yd,FF,Blk Kick,Safety,Total Check,Diff,PDF,Tkls/Gm,Tm Rank,PDF
SR,CB,"Shaw, Daryl",2003,9,17,2,19,1.0,1,0,0,1,6,,0,,1,0,0,0,0,19,0,1,2.1,,1
Sr,DE,"Argrow, Jamaal",2003,5,8,4,12,2.0,8,1,7,0,0,,2,,1,0,1,0,0,12,0,2,2.4,,2
SR,LB-LS,"Yates, Jack",2003,12,2,0,2,0.0,0,0,0,0,0,,0,,0,0,1,0,0,2,0,0,0.2,,0
SO,NT,"Stukes, Cori",2003,10,14,5,19,4.0,13,1,10,0,0,,0,,0,0,1,0,0,19,0,0,1.9,,0
So,NT,"Scales, Goryal",2003,12,11,5,16,2.0,5,0,0,0,0,,0,,1,0,0,0,0,16,0,0,1.3,,0
SO,DE,"Orlebar, Arthur",2003,12,5,8,13,2.0,10,0,0,0,0,,0,,0,0,0,0,0,13,0,0,1.1,,0
So,LB,"Pratt, Jason",2003,10,4,5,9,1.0,8,1,8,0,0,,0,,0,0,0,0,0,9,0,0,0.9,,0
So,S,"Simmons, Robert",2003,6,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.3,,0
SO,RB,"Barclay, Chris",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SO,PK,"Wisnosky, Matt",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,FS,"Gattis, Josh",2003,12,29,5,34,0.0,0,0,0,0,0,,0,,0,0,2,0,0,34,0,0,2.8,,0
RS,DB,"Ghee, Patrick",2003,12,10,7,17,0.0,0,0,0,0,0,,1,,0,0,0,0,0,17,0,1,1.4,,1
RS,LB,"Easley, Pierre",2003,10,8,4,12,0.0,0,0,0,0,0,,0,,0,0,0,0,0,12,0,0,1.2,,0
RS,DE,"Finklea, John",2003,7,4,3,7,0.0,0,0,0,0,0,,0,,0,0,0,0,0,7,0,0,1.0,,0
RS,WR,"Anderson, Jason",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,WR,"Idlette, Willie",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,FB,"McWhite, Damon",2003,10,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
RS,WR,"Morton, Nate",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
JR,DB,"Bracy, Caron",2003,12,68,22,90,4.0,5,0,0,0,0,,3,,0,0,2,1,0,90,0,3,7.5,1,3
Jr,LB,"White, Brad",2003,12,51,27,78,5.0,7,0,0,1,11,,2,,0,0,0,0,0,78,0,3,6.5,,3
Jr,SS,"Braxton, Warren",2003,12,47,19,66,3.0,10,1,7,2,10,,1,,1,53,1,0,0,66,0,3,5.5,,3
Jr,CB,"King, Eric",2003,12,49,10,59,1.0,1,0,0,3,127,,15,,2,42,3,0,0,59,0,18,4.9,,18
Jr,CB,"McGruder, M.",2003,12,44,10,54,1.0,3,0,0,1,35,,4,,0,0,1,0,0,54,0,5,4.5,,5
Jr,DE,"Nichols, Jerome",2003,12,19,14,33,11.0,36,2,15,2,39,,6,,1,0,0,1,0,33,0,8,2.8,,8
JR,OLB,"Hamlar, Mike",2003,3,4,0,4,0.0,0,0,0,0,0,,1,,0,0,0,0,0,4,0,1,1.3,,1
Fr,DB,"Swanson, Riley",2003,12,23,18,41,0.0,0,0,0,1,0,,1,,1,0,1,0,0,41,0,2,3.4,,2
Fr,DE,"Tucker, Jyles",2003,11,12,5,17,0.0,0,0,0,0,0,,2,,0,0,1,0,0,17,0,2,1.5,,2
Fr,DT,"Andrews, Bryan",2003,12,12,3,15,3.0,25,2,19,0,0,,1,,0,0,0,0,0,15,0,1,1.3,1,1
FR,LB,"Adams, James",2003,10,3,2,5,0.0,0,0,0,0,0,,0,,0,0,1,0,0,5,0,0,0.5,,0
Fr,NT,"Smith, Jamil",2003,5,0,1,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.2,,0
,,"Harris, Trevor",2003,10,3,0,3,0.0,0,0,0,0,0,,0,,0,0,1,0,0,3,0,0,0.3,,0
,,"Warren, Josh",2003,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
Sr,DE,"Pace, Calvin",2002,12,43,30,73,22.0,72,8,43,0,0,,6,,0,0,0,2,0,73,0,6,6.1,,6
SR,ILB,"Scott, Jamie",2002,11,24,34,58,5.0,10,2,6,0,0,,1,,1,0,0,1,0,58,0,1,5.3,,1
SR,DE,"Stephen, Roderick",2002,13,25,21,46,4.0,4,1,1,0,0,,0,,2,0,2,0,0,46,0,0,3.5,,0
Sr,NT,"Sharpe, Montique",2002,13,20,10,30,4.0,17,2,15,1,0,,1,,1,0,1,0,0,30,0,2,2.3,,2
Sr,FB,"Mughelli, Ovie",2002,13,7,1,8,0.0,0,0,0,0,0,,0,,1,10,0,0,0,8,0,0,0.6,,0
SR,DB,"Ivey, Elliot",2002,12,1,3,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.3,,0
SR,TE,"Thomas, Ray",2002,13,0,2,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0.2,,0
Sr,WR,"Landfried, Jax",2002,13,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
SR,QB-P,"MacPherson, James",2002,13,1,0,1,0.0,0,0,0,0,0,,0,,1,0,0,0,0,1,0,0,0.1,,0
So,LB,"White, Brad",2002,13,55,39,94,5.0,21,1,9,0,0,,6,,0,0,3,0,0,94,0,6,7.2,,6
SO,DB,"Bracy, Caron",2002,13,56,26,82,1.0,3,0,0,0,0,,2,,2,0,3,0,0,82,0,2,6.3,,2
So,CB,"King, Eric",2002,13,51,12,63,2.0,5,0,0,3,16,,7,,0,0,2,0,0,63,0,10,4.8,,10
So,DB,"Braxton, Warren",2002,13,37,24,61,1.0,2,0,0,2,2,,4,,2,15,2,0,0,61,0,6,4.7,,6
So,CB,"McGruder, M.",2002,13,20,11,31,0.0,0,0,0,0,0,,2,,0,0,0,0,0,31,0,2,2.4,,2
So,WR,"Anderson, Dominic",2002,12,18,2,20,2.0,14,1,13,0,0,,2,,2,0,2,0,0,20,0,2,1.7,,2
So,DE,"Nichols, Jerome",2002,7,2,3,5,0.0,0,0,0,0,0,,0,,0,0,0,0,0,5,0,0,0.7,,0
SO,OLB,"Hamlar, Mike",2002,7,2,0,2,0.0,0,0,0,0,0,,0,,1,0,0,0,0,2,0,0,0.3,,0
RS,LB,"Stukes, Cori",2002,11,4,4,8,1.0,10,1,10,0,0,,0,,0,0,0,0,0,8,0,0,0.7,,0
RS,DE,"Finklea, John",2002,10,3,1,4,1.0,1,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.4,,0
RS,LB,"Pratt, Jason",2002,11,3,1,4,0.0,0,0,0,0,0,,0,,0,0,0,0,0,4,0,0,0.4,,0
RS,LB,"Owen, Chris",2002,1,1,1,2,0.0,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,2.0,,0
RS,DE,"Orlebar, Arthur",2002,3,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.3,,0
Jr,FS,"Williams, Quintin",2002,13,44,28,72,5.0,11,0,0,3,49,,5,,1,0,0,0,0,72,0,8,5.5,,8
Jr,OLB,"Brantley, Kellen",2002,13,35,26,61,5.0,13,1,6,1,29,,2,,0,0,0,0,0,61,0,3,4.7,,3
JR,DB,"Shaw, Daryl",2002,13,34,23,57,1.0,1,0,0,3,0,,2,,2,0,1,0,0,57,0,5,4.4,,5
JR,LB,"Williams, Dion",2002,12,31,14,45,3.0,4,0,0,0,0,,1,,1,0,2,0,0,45,0,1,3.8,,1
Jr,DE,"Argrow, Jamaal",2002,13,20,8,28,4.0,18,2,14,0,0,,0,,2,0,2,0,0,28,0,0,2.2,,0
Jr,SS,"Chukwumah, Obi",2002,12,2,12,14,0.0,0,0,0,0,0,,0,,0,0,0,0,0,14,0,0,1.2,,0
JR,DB,"Perez, Ricky",2002,9,1,1,2,0.0,0,0,0,0,0,,0,,1,0,0,0,0,2,0,0,0.2,,0
JR,DB,"Dayton, Drew",2002,12,1,0,1,0.0,0,0,0,0,0,,0,,0,0,0,0,0,1,0,0,0.1,,0
