"","PlayerYear","PlayerPosition","Name","calYear","Games","SoloTackles","AsstTackles","TotalTackles","TacklesForLoss","TFL_Yds","Sacks","Sack_Yds","Int","Int_Yds","IntTD","PassBreakUps","QBHurries","FumbleRecov","FumbleRecov_Yds","ForcedFumbles","BlockedKicks","Safety","Tkls/Gm","TotalCheck","Diff","PDF","Tm Rank","PDF_1"
"113","JR","TE","DONATELL, STEVE",2015,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,0
"114","JR","FB","ARGENZIO, CHARLES",2015,10,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,0
"115","JR","WR","ARMSTRONG, JOHN",2015,6,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,1,0,NA,NA,0
"116","JR","WR","HARRIS, TYREE",2015,3,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.333333333333333,1,NA,NA,NA,0
"117","GS","S","DANCEL, ZACH",2015,12,450,20,60,3,20,1,13,0,0,0,2,0,1,0,3,0,0,5,470,410,2,NA,2
"118","GS","CB","GAULDEN, DEVIN",2015,9,7,7,14,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1.55555555555556,14,0,1,NA,1
"119","FR","CB","AUSTIN, DIONTE",2015,12,16,6,22,2,11,1,10,0,0,0,5,0,0,0,0,0,0,1.83333333333333,22,0,5,NA,5
"120","FR","DE","CALHOUN, CHRIS",2015,12,11,9,20,4,10,0,0,1,4,0,1,0,0,0,0,0,0,1.66666666666667,20,0,2,NA,2
"121","FR","WR","HINES, TABARI",2015,12,2,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.166666666666667,2,0,NA,NA,0
"122","FR","RB","BELL, TYLER",2015,12,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0833333333333333,1,NA,NA,1,0
"123","FR","QB","HINTON, KENDALL",2015,10,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,1,NA,NA,NA,0
"124","SR","LB","ALLEN, ZACH",2014,12,34,30,64,11,41,5,27,0,0,NA,1,2,1,0,0,0,NA,5.33333333333333,64,NA,1,NA,1
"125","SR","S","WOODING, ANTHONY",2014,12,32,29,61,1.5,8,0,0,0,0,NA,5,0,0,0,0,NA,NA,5.08333333333333,61,NA,5,NA,5
"126","SR","CB","JOHNSON, KEVIN",2014,12,32,12,44,3.5,10,0,0,1,2,NA,6,0,1,0,0,0,NA,3.66666666666667,44,NA,7,NA,7
"127","SR","CB","NOEL, MERRILL",2014,12,27,16,43,0,0,0,0,3,30,NA,3,0,0,0,0,0,0,3.58333333333333,43,NA,6,NA,6
"128","SR","WR","SCOTT, EJ",2014,12,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,2,NA,0,NA,0
"129","SR","WR","TERRY, BRANDON",2014,11,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.181818181818182,2,NA,0,NA,0
"130","SR","OT","FORD, ANTONIO",2014,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,1,NA,0,NA,0
"131","SR","WR","JAMES, MATT",2014,9,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111111111111111,1,NA,0,NA,0
"132","SO","S","JANVION, RYAN",2014,12,54,61,115,7,22,0,0,0,0,NA,6,0,2,0,1,0,0,9.58333333333333,115,0,6,1,6
"133","SO","LB","LEE, MARQUEL",2014,12,39,62,101,12,53,4,34,0,0,NA,1,1,0,0,1,NA,NA,8.41666666666667,101,NA,1,NA,1
"134","SO","S","BROWN, THOMAS",2014,12,34,20,54,6,24,2,12,0,0,NA,3,1,0,0,2,NA,NA,4.5,54,NA,3,NA,3
"135","SO","DT","BANKS, JOSH",2014,12,19,17,36,7.5,32,4,28,1,72,1,2,3,1,0,1,0,0,3,36,NA,3,NA,3
"136","SO","DT","LEWINSON, SHELLDON",2014,12,7,14,21,3,12,2,10,0,0,0,0,2,0,0,0,0,0,1.75,21,NA,0,NA,0
"137","SO","CB","WATSON, BRAD",2014,12,12,5,17,0,0,0,0,0,0,0,4,0,1,0,0,0,0,1.41666666666667,17,NA,4,NA,4
"138","SO","CB","LATTER, JALEN",2014,11,8,3,11,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,11,NA,2,NA,2
"139","SO","LB","DONATELL, STEVE",2014,12,2,6,8,1,3,0,0,0,0,0,1,1,0,0,1,1,NA,0.666666666666667,8,NA,1,NA,1
"140","SO","LB","MATTHEWS, TEDDY",2014,10,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.4,4,NA,0,NA,0
"141","SO","RB","ARGENZIO, CHARLES",2014,8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,1,NA,NA,NA,0
"142","SO","WR","CRUMP, JARED",2014,12,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0833333333333333,1,NA,NA,NA,0
"143","JR","LB","CHUBB, BRANDON",2014,12,53,56,109,6.5,30,3,19,0,0,NA,3,6,1,0,2,NA,NA,9.08333333333333,109,NA,3,NA,3
"144","JR","LB","WILLIAMS, HUNTER",2014,12,31,29,60,7,32,1,3,1,32,NA,2,0,2,0,0,0,NA,5,60,NA,3,NA,3
"145","JR","DT","HARRIS, TYLOR",2014,10,12,13,25,3.5,16,1,9,0,0,0,0,0,4,0,1,3,0,2.5,25,NA,0,NA,0
"146","JR","DE","FLOYD, DESMOND",2014,10,7,5,12,2,15,1.5,13,0,0,0,1,4,0,0,0,0,0,1.2,12,NA,1,NA,1
"147","JR","CB","RAMSEY, ALLEN",2014,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.142857142857143,1,NA,NA,NA,0
"148","FR","DE","DUNN, WENDELL",2014,12,17,26,43,7.5,14,0.5,0,0,0,NA,2,2,0,0,2,NA,NA,3.58333333333333,43,NA,2,NA,2
"149","FR","LB","DAWSON, GRANT",2014,12,6,9,15,0.5,2,0,0,0,0,0,1,0,0,0,0,0,0,1.25,15,NA,1,NA,1
